Year,Factory_Name,Product,Unity,Month,Quantity
2023,Total Plants,Received milk volume,Lts,Jan,181.610.490
2023,Total Plants,Total powdered milk,Kg,Jan,5.917.603
2023,Total Plants,Yogurt,Lts,Jan,16.205.180
2023,Total Plants,Cheese,Kg,Jan,7.942.511
2023,Total Plants,Cream,Kg,Jan,3.014.901
2023,Total Plants,Butter,Kg,Jan,2.077.959
2023,Total Plants,Condensed milk,Kg,Jan,2.910.585
2023,Total Plants,Sweetened condensed milk,Kg,Jan,2.315.690
2023,Total Plants,Received milk volume,Lts,Feb,142.309.965
2023,Total Plants,Total powdered milk,Kg,Feb,3.541.597
2023,Total Plants,Yogurt,Lts,Feb,17.739.510
2023,Total Plants,Cheese,Kg,Feb,6.839.517
2023,Total Plants,Cream,Kg,Feb,2.958.288
2023,Total Plants,Butter,Kg,Feb,1.824.166
2023,Total Plants,Condensed milk,Kg,Feb,2.791.750
2023,Total Plants,Sweetened condensed milk,Kg,Feb,2.257.135
2023,Total Plants,Received milk volume,Lts,Mar,150.251.399
2023,Total Plants,Total powdered milk,Kg,Mar,3.436.771
2023,Total Plants,Yogurt,Lts,Mar,21.024.259
2023,Total Plants,Cheese,Kg,Mar,7.572.312
2023,Total Plants,Cream,Kg,Mar,3.222.514
2023,Total Plants,Butter,Kg,Mar,2.401.346
2023,Total Plants,Condensed milk,Kg,Mar,3.245.681
2023,Total Plants,Sweetened condensed milk,Kg,Mar,2.869.734
2023,Total Plants,Received milk volume,Lts,Abril,163.406.333
2023,Total Plants,Total powdered milk,Kg,Abril,3.901.720
2023,Total Plants,Yogurt,Lts,Abril,18.374.671
2023,Total Plants,Cheese,Kg,Abril,8.685.289
2023,Total Plants,Cream,Kg,Abril,3.075.877
2023,Total Plants,Butter,Kg,Abril,2.424.143
2023,Total Plants,Condensed milk,Kg,Abril,3.002.777
2023,Total Plants,Sweetened condensed milk,Kg,Abril,2.801.051
2023,Total Plants,Received milk volume,Lts,May,154.421.674
2023,Total Plants,Total powdered milk,Kg,May,3.040.122
2023,Total Plants,Yogurt,Lts,May,18.402.629
2023,Total Plants,Cheese,Kg,May,9.084.527
2023,Total Plants,Cream,Kg,May,3.174.693
2023,Total Plants,Butter,Kg,May,2.383.922
2023,Total Plants,Condensed milk,Kg,May,3.728.216
2023,Total Plants,Sweetened condensed milk,Kg,May,2.751.110
2023,Total Plants,Received milk volume,Lts,Jun,129.677.661
2023,Total Plants,Total powdered milk,Kg,Jun,2.988.198
2023,Total Plants,Yogurt,Lts,Jun,17.552.659
2023,Total Plants,Cheese,Kg,Jun,6.941.690
2023,Total Plants,Cream,Kg,Jun,2.184.750
2023,Total Plants,Butter,Kg,Jun,2.300.741
2023,Total Plants,Condensed milk,Kg,Jun,3.257.073
2023,Total Plants,Sweetened condensed milk,Kg,Jun,3.295.995
2023,Total Plants,Received milk volume,Lts,Jul,130.665.539
2023,Total Plants,Total powdered milk,Kg,Jul,2.963.362
2023,Total Plants,Yogurt,Lts,Jul,17.201.786
2023,Total Plants,Cheese,Kg,Jul,5.869.128
2023,Total Plants,Cream,Kg,Jul,2.162.089
2023,Total Plants,Butter,Kg,Jul,1.889.421
2023,Total Plants,Condensed milk,Kg,Jul,1.865.802
2023,Total Plants,Sweetened condensed milk,Kg,Jul,2.886.273
2023,Total Plants,Received milk volume,Lts,Aug,157.562.808
2023,Total Plants,Total powdered milk,Kg,Aug,3.965.134
2023,Total Plants,Yogurt,Lts,Aug,19.558.859
2023,Total Plants,Cheese,Kg,Aug,7.984.855
2023,Total Plants,Cream,Kg,Aug,3.069.749
2023,Total Plants,Butter,Kg,Aug,2.094.833
2023,Total Plants,Condensed milk,Kg,Aug,3.226.343
2023,Total Plants,Sweetened condensed milk,Kg,Aug,4.333.616
2023,Total Plants,Received milk volume,Lts,Sep,187.341.681
2023,Total Plants,Total powdered milk,Kg,Sep,5.409.981
2023,Total Plants,Yogurt,Lts,Sep,18.122.923
2023,Total Plants,Cheese,Kg,Sep,9.304.558
2023,Total Plants,Cream,Kg,Sep,2.939.907
2023,Total Plants,Butter,Kg,Sep,2.282.202
2023,Total Plants,Condensed milk,Kg,Sep,3.207.353
2023,Total Plants,Sweetened condensed milk,Kg,Sep,3.590.943
2023,Total Plants,Received milk volume,Lts,Oct,232.807.347
2023,Total Plants,Total powdered milk,Kg,Oct,8.123.709
2023,Total Plants,Yogurt,Lts,Oct,19.527.821
2023,Total Plants,Cheese,Kg,Oct,10.377.169
2023,Total Plants,Cream,Kg,Oct,3.284.510
2023,Total Plants,Butter,Kg,Oct,2.452.396
2023,Total Plants,Condensed milk,Kg,Oct,3.746.852
2023,Total Plants,Sweetened condensed milk,Kg,Oct,3.540.048
2023,Total Plants,Received milk volume,Lts,Nov,235.812.565
2023,Total Plants,Total powdered milk,Kg,Nov,8.581.926
2023,Total Plants,Yogurt,Lts,Nov,18.564.306
2023,Total Plants,Cheese,Kg,Nov,10.457.095
