Year,Factory_Name,Month,Product,Unity,Quantity
2013,Total Plants,Jan,Total Liquid Milk,Lts,29.601.098
2013,Total Plants,Feb,Total Liquid Milk,Lts,30.824.745
2013,Total Plants,Mar,Total Liquid Milk,Lts,36.595.537
2013,Total Plants,Apr,Total Liquid Milk,Lts,38.287.555
2013,Total Plants,May,Total Liquid Milk,Lts,33.272.434
2013,Total Plants,Jun,Total Liquid Milk,Lts,27.821.267
2013,Total Plants,Jul,Total Liquid Milk,Lts,36.393.114
2013,Total Plants,Aug,Total Liquid Milk,Lts,34.078.833
2013,Total Plants,Sep,Total Liquid Milk,Lts,27.942.555
2013,Total Plants,Oct,Total Liquid Milk,Lts,35.187.441
2013,Total Plants,Nov,Total Liquid Milk,Lts,33.872.382
2013,Total Plants,Dec,Total Liquid Milk,Lts,34.252.791
2014,Total Plants,Jan,Total Liquid Milk,Lts,40.505.732
2014,Total Plants,Feb,Total Liquid Milk,Lts,33.464.470
2014,Total Plants,Mar,Total Liquid Milk,Lts,36.107.629
2014,Total Plants,Apr,Total Liquid Milk,Lts,33.799.519
2014,Total Plants,May,Total Liquid Milk,Lts,34.276.926
2014,Total Plants,Jun,Total Liquid Milk,Lts,34.246.467
2014,Total Plants,Jul,Total Liquid Milk,Lts,33.101.509
2014,Total Plants,Aug,Total Liquid Milk,Lts,34.867.779
2014,Total Plants,Sep,Total Liquid Milk,Lts,33.973.532
2014,Total Plants,Oct,Total Liquid Milk,Lts,38.315.834
2014,Total Plants,Nov,Total Liquid Milk,Lts,33.340.853
2014,Total Plants,Dec,Total Liquid Milk,Lts,37.141.061
2015,Total Plants,Jan,Total Liquid Milk,Lts,37.101.419
2015,Total Plants,Feb,Total Liquid Milk,Lts,31.010.902
2015,Total Plants,Mar,Total Liquid Milk,Lts,33.190.237
2015,Total Plants,Apr,Total Liquid Milk,Lts,36.094.616
2015,Total Plants,May,Total Liquid Milk,Lts,37.111.610
2015,Total Plants,Jun,Total Liquid Milk,Lts,35.213.550
2015,Total Plants,Jul,Total Liquid Milk,Lts,36.307.397
2015,Total Plants,Aug,Total Liquid Milk,Lts,35.712.146
2015,Total Plants,Sep,Total Liquid Milk,Lts,37.487.745
2015,Total Plants,Oct,Total Liquid Milk,Lts,38.273.949
2015,Total Plants,Nov,Total Liquid Milk,Lts,34.863.777
2015,Total Plants,Dec,Total Liquid Milk,Lts,34.319.404
2016,Total Plants,Jan,Total Liquid Milk,Lts,34.702.566
2016,Total Plants,Feb,Total Liquid Milk,Lts,37.296.732
2016,Total Plants,Mar,Total Liquid Milk,Lts,39.564.776
2016,Total Plants,Apr,Total Liquid Milk,Lts,37.275.388
2016,Total Plants,May,Total Liquid Milk,Lts,34.432.849
2016,Total Plants,Jun,Total Liquid Milk,Lts,35.475.097
2016,Total Plants,Jul,Total Liquid Milk,Lts,34.566.583
2016,Total Plants,Aug,Total Liquid Milk,Lts,37.106.485
2016,Total Plants,Sep,Total Liquid Milk,Lts,31.714.254
2016,Total Plants,Oct,Total Liquid Milk,Lts,35.559.788
2016,Total Plants,Nov,Total Liquid Milk,Lts,38.439.948
2016,Total Plants,Dec,Total Liquid Milk,Lts,32.999.592
2017,Total Plants,Jan,Total Liquid Milk,Lts,32.634.895
2017,Total Plants,Feb,Total Liquid Milk,Lts,31.402.661
2017,Total Plants,Mar,Total Liquid Milk,Lts,39.031.593
2017,Total Plants,Apr,Total Liquid Milk,Lts,37.000.844
2017,Total Plants,May,Total Liquid Milk,Lts,38.115.525
2017,Total Plants,Jun,Total Liquid Milk,Lts,35.769.823
2017,Total Plants,Jul,Total Liquid Milk,Lts,31.947.618
2017,Total Plants,Aug,Total Liquid Milk,Lts,37.935.164
